Derived-humidity hypothesis — generated 2026-06-08T18:48:37
Pair log rows scanned:   2,625,520
Rows with L4 (t/dp/h):   302,577
Complete triples used:   17,231
Unphysical (dp>T):       0

Per-lead MAE (% RH points):
  lead |     n    | independent | derived |  Δ (derived − independent) |  Δ %
  ---- | -------- | ----------- | ------- | -------------------------- | ------
     0 |      500 |       9.244 |   9.244 |                      +0.000 |  +0.0%
     1 |      497 |       9.621 |   9.620 |                      -0.001 |  -0.0%
     2 |      486 |      10.595 |  10.596 |                      +0.001 |  +0.0%
     3 |      476 |      11.581 |  11.581 |                      +0.000 |  +0.0%
     4 |      470 |      12.197 |  12.194 |                      -0.003 |  -0.0%
     5 |      464 |      12.668 |  12.672 |                      +0.004 |  +0.0%
     6 |      458 |      12.820 |  12.821 |                      +0.001 |  +0.0%
     7 |      452 |      12.436 |  12.434 |                      -0.002 |  -0.0%
     8 |      446 |      12.165 |  12.164 |                      -0.001 |  -0.0%
     9 |      440 |      12.174 |  12.176 |                      +0.002 |  +0.0%
    10 |      434 |      11.708 |  11.704 |                      -0.004 |  -0.0%
    11 |      428 |      12.271 |  12.274 |                      +0.003 |  +0.0%
    12 |      422 |      12.541 |  12.542 |                      +0.001 |  +0.0%
    13 |      416 |      12.882 |  12.882 |                      -0.001 |  -0.0%
    14 |      410 |      13.197 |  13.199 |                      +0.002 |  +0.0%
    15 |      404 |      13.666 |  13.664 |                      -0.001 |  -0.0%
    16 |      398 |      14.822 |  14.821 |                      -0.002 |  -0.0%
    17 |      392 |      15.235 |  15.235 |                      +0.001 |  +0.0%
    18 |      385 |      15.781 |  15.781 |                      +0.000 |  +0.0%
    19 |      377 |      15.654 |  15.657 |                      +0.003 |  +0.0%
    20 |      371 |      15.858 |  15.860 |                      +0.001 |  +0.0%
    21 |      367 |      16.279 |  16.276 |                      -0.003 |  -0.0%
    22 |      362 |      16.587 |  16.589 |                      +0.002 |  +0.0%
    23 |      356 |      16.318 |  16.319 |                      +0.001 |  +0.0%
    24 |      350 |      16.986 |  16.988 |                      +0.001 |  +0.0%
    25 |      347 |      18.213 |  18.213 |                      +0.001 |  +0.0%
    26 |      347 |      18.137 |  18.135 |                      -0.002 |  -0.0%
    27 |      344 |      17.430 |  17.426 |                      -0.004 |  -0.0%
    28 |      338 |      16.658 |  16.661 |                      +0.003 |  +0.0%
    29 |      332 |      16.240 |  16.239 |                      -0.001 |  -0.0%
    30 |      326 |      15.369 |  15.367 |                      -0.001 |  -0.0%
    31 |      320 |      14.591 |  14.594 |                      +0.003 |  +0.0%
    32 |      314 |      14.220 |  14.215 |                      -0.005 |  -0.0%
    33 |      308 |      14.266 |  14.270 |                      +0.004 |  +0.0%
    34 |      302 |      15.323 |  15.325 |                      +0.002 |  +0.0%
    35 |      296 |      15.210 |  15.212 |                      +0.001 |  +0.0%
    36 |      291 |      15.373 |  15.372 |                      -0.001 |  -0.0%
    37 |      285 |      17.105 |  17.107 |                      +0.002 |  +0.0%
    38 |      279 |      18.437 |  18.433 |                      -0.004 |  -0.0%
    39 |      273 |      18.914 |  18.913 |                      -0.000 |  -0.0%
    40 |      267 |      18.943 |  18.948 |                      +0.004 |  +0.0%
    41 |      261 |      18.714 |  18.711 |                      -0.003 |  -0.0%
    42 |      255 |      18.299 |  18.301 |                      +0.002 |  +0.0%
    43 |      249 |      18.093 |  18.095 |                      +0.001 |  +0.0%
    44 |      243 |      18.622 |  18.620 |                      -0.002 |  -0.0%
    45 |      237 |      18.284 |  18.280 |                      -0.004 |  -0.0%
    46 |      231 |      18.015 |  18.016 |                      +0.001 |  +0.0%
    47 |      225 |      18.325 |  18.327 |                      +0.002 |  +0.0%

Overall (all leads pooled):
  independent MAE: 14.656
  derived MAE:     14.656
  Δ:               +0.000  (+0.0%)

Verdict: WASH — within noise. No clear win. Shelve.
